,Song_title,Word,Count
0,3min,when,1
1,3min,youre,1
2,3min,lookin,1
3,3min,for,1
4,3min,the,9
5,3min,special,1
7,3min,live,1
8,3min,low,1
9,3min,on,1
10,3min,cost,2
11,3min,dont,1
12,3min,need,1
13,3min,tickets,1
17,3min,west,2
18,3min,of,2
19,3min,eden,2
22,3min,heaven,2
23,3min,heres,4
24,3min,sign,4
25,3min,lets,4
26,3min,get,4
27,3min,out,4
28,3min,you,6
29,3min,feel,5
30,3min,world,4
31,3min,is,4
32,3min,calling,4
33,3min,gimme,8
34,3min,just,8
35,3min,three,1
36,3min,minutes,1
37,3min,3min,7
38,3min,even,4
39,3min,if,4
40,3min,we,7
41,3min,face,4
42,3min,that,4
43,3min,point,4
44,3min,rhythm,8
45,3min,and,9
46,3min,soul,8
47,3min,beat,5
48,3min,it,5
49,3min,are,3
53,3min,ill,1
54,3min,find,1
55,3min,i,1
56,3min,so,1
57,3min,far,1
58,3min,away,1
59,3min,close,1
60,3min,near,1
95,After Rain,nureta,2
96,After Rain,shatsu,1
97,After Rain,to,2
98,After Rain,hoho,1
99,After Rain,asufaruto,1
100,After Rain,kaerimichi,2
101,After Rain,wa,6
102,After Rain,itsumo,2
103,After Rain,yori,2
104,After Rain,chotto,2
105,After Rain,sabishigesenrozoi,1
106,After Rain,ni,19
107,After Rain,saku,1
108,After Rain,chiisa,1
109,After Rain,na,5
110,After Rain,hana,2
111,After Rain,demokogoeta,1
112,After Rain,karada,1
113,After Rain,yurashiteru,1
114,After Rain,dakara,2
115,After Rain,kinou,5
116,After Rain,yorimo,5
117,After Rain,zutto,4
118,After Rain,kirei,3
119,After Rain,mabushii,2
120,After Rain,anata,2
121,After Rain,ga,5
122,After Rain,soko,5
123,After Rain,iru,2
124,After Rain,kaze,2
125,After Rain,kuchidzuke,2
126,After Rain,aruiteikeru,2
127,After Rain,daijoubu,4
128,After Rain,kitto,2
129,After Rain,tashika,3
130,After Rain,kagayaku,1
131,After Rain,ashita,1
132,After Rain,aru,4
133,After Rain,sora,2
134,After Rain,kazarou,1
135,After Rain,hanataba,1
136,After Rain,ima,1
137,After Rain,shiranai,3
138,After Rain,no,5
139,After Rain,chigiregumo,1
140,After Rain,ameagari,1
141,After Rain,gairoju,1
142,After Rain,de,1
143,After Rain,ame,3
144,After Rain,nioi,1
145,After Rain,nara,3
146,After Rain,kidzukeba,1
147,After Rain,tooku,1
148,After Rain,e,1
149,After Rain,kieru,1
150,After Rain,koro,1
151,After Rain,itoshiku,1
152,After Rain,naru,1
153,After Rain,kodou,2
154,After Rain,mune,3
155,After Rain,utsu,2
156,After Rain,nanika,2
157,After Rain,kimagure,2
158,After Rain,yoku,1
159,After Rain,hanashi,1
160,After Rain,made,2
161,After Rain,nagashita,2
162,After Rain,namida,2
163,After Rain,mo,5
164,After Rain,koe,2
165,After Rain,dekinakatta,2
166,After Rain,omoi,2
167,After Rain,uta,5
168,After Rain,takushite,2
169,After Rain,sayonara,2
170,After Rain,daremo,2
171,After Rain,koi,1
172,After Rain,dareka,1
173,After Rain,moratta,1
174,After Rain,kasa,1
175,After Rain,mou,1
176,After Rain,iranai,1
177,After Rain,o,1
178,After Rain,shimetsuketa,1
179,After Rain,tsuyogari,1
180,After Rain,tsuyosa,1
181,After Rain,kawaru,1
182,After Rain,niji,1
183,After Rain,suteki,1
184,After Rain,keshiki,1
185,Akane Sasu (茜さす),kareha,1
186,Akane Sasu (茜さす),mau,1
187,Akane Sasu (茜さす),machikado,1
188,Akane Sasu (茜さす),wo,11
189,Akane Sasu (茜さす),kakenuketeku,1
190,Akane Sasu (茜さす),kawaita,1
191,Akane Sasu (茜さす),kaze,1
192,Akane Sasu (茜さす),nobita,1
193,Akane Sasu (茜さす),kage,1
194,Akane Sasu (茜さす),to,1
195,Akane Sasu (茜さす),ichou,1
196,Akane Sasu (茜さす),namiki,1
197,Akane Sasu (茜さす),kisetsu,1
198,Akane Sasu (茜さす),mitetakatta,1
199,Akane Sasu (茜さす),henji,1
200,Akane Sasu (茜さす),no,10
201,Akane Sasu (茜さす),nai,1
202,Akane Sasu (茜さす),yobu,1
203,Akane Sasu (茜さす),koe,3
204,Akane Sasu (茜さす),wa,6
205,Akane Sasu (茜さす),atto,1
206,Akane Sasu (茜さす),iu,1
207,Akane Sasu (茜さす),ma,1
208,Akane Sasu (茜さす),kakikesareteshimau,1
209,Akane Sasu (茜さす),menuki,1
210,Akane Sasu (茜さす),doori,1
211,Akane Sasu (茜さす),hitonami,1
212,Akane Sasu (茜さす),nukete,1
213,Akane Sasu (茜さす),dokoka,1
214,Akane Sasu (茜さす),tooku,2
215,Akane Sasu (茜さす),dare,2
216,Akane Sasu (茜さす),mo,9
217,Akane Sasu (茜さす),inai,2
218,Akane Sasu (茜さす),basho,2
219,Akane Sasu (茜さす),e,1
220,Akane Sasu (茜さす),kizuiteita,1
221,Akane Sasu (茜さす),noni,1
222,Akane Sasu (茜さす),nani,2
223,Akane Sasu (茜さす),shiranai,1
224,Akane Sasu (茜さす),furi,1
225,Akane Sasu (茜さす),hitori,3
226,Akane Sasu (茜さす),kiri,2
227,Akane Sasu (茜さす),dewa,1
228,Akane Sasu (茜さす),dekinakatta,1
229,Akane Sasu (茜さす),deaeta,2
230,Akane Sasu (茜さす),maboroshi,3
231,Akane Sasu (茜さす),ni,13
232,Akane Sasu (茜さす),sayonara,2
233,Akane Sasu (茜さす),akane,1
234,Akane Sasu (茜さす),sasu,1
235,Akane Sasu (茜さす),kono,3
236,Akane Sasu (茜さす),sora,3
237,Akane Sasu (茜さす),koboreta,1
238,Akane Sasu (茜さす),yowasa,1
239,Akane Sasu (茜さす),te,1
240,Akane Sasu (茜さす),hira,1
241,Akane Sasu (茜さす),ichirin,1
242,Akane Sasu (茜さす),adabana,1
243,Akane Sasu (茜さす),sonna,2
244,Akane Sasu (茜さす),fuu,2
245,Akane Sasu (茜さす),negai,3
246,Akane Sasu (茜さす),kanae,1
247,Akane Sasu (茜さす),itami,3
248,Akane Sasu (茜さす),shiru,4
