Song_title,Word,Count
3min,when,1
3min,youre,1
3min,lookin,1
3min,for,1
3min,the,9
3min,special,1
3min,飛び出す先でいいよ,1
3min,live,1
3min,low,1
3min,on,1
3min,cost,2
3min,dont,1
3min,need,1
3min,tickets,1
3min,荷物もなくていいよ,1
3min,君と３分間で世界を,1
3min,誰も見てない,2
3min,west,2
3min,of,2
3min,eden,2
3min,も,4
3min,目眩がするくらいの,2
3min,heaven,2
3min,heres,4
3min,sign,4
3min,lets,4
3min,get,4
3min,out,4
3min,you,6
3min,feel,5
3min,world,4
3min,is,4
3min,calling,4
3min,gimme,8
3min,just,8
3min,three,1
3min,minutes,1
3min,3min,7
3min,even,4
3min,if,4
3min,we,7
3min,face,4
3min,that,4
3min,point,4
3min,rhythm,8
3min,and,9
3min,soul,8
3min,beat,5
3min,it,5
3min,are,3
3min,旅に出るのに確かな理由は,1
3min,明日世界のどこにいたとしても,1
3min,３分間ですぐに会いに行くよ,1
3min,ill,1
3min,find,1
3min,i,1
3min,so,1
3min,far,1
3min,away,1
3min,close,1
3min,near,1
After Dark,nishi,1
After Dark,no,4
After Dark,sora,1
After Dark,wo,1
After Dark,someta,1
After Dark,nijimu,1
After Dark,youna,1
After Dark,akairo,1
After Dark,wa,3
After Dark,aoi,1
After Dark,sen,1
After Dark,shita,1
After Dark,nigeru,1
After Dark,youni,1
After Dark,kieta,1
After Dark,su,1
After Dark,e,1
After Dark,kaeru,1
After Dark,kuroi,1
After Dark,tori,2
After Dark,ue,1
After Dark,hibiku,1
After Dark,nakigoe,1
After Dark,sore,1
After Dark,dake,1
After Dark,nokosareta,1
After Dark,futari,1
After Dark,tomosare,1
After Dark,nakatta,1
After Dark,akari,1
After Dark,yoru,1
After Dark,sugu,1
After Dark,soko,1
After Dark,ni,1
After Rain,nureta,2
After Rain,shatsu,1
After Rain,to,2
After Rain,hoho,1
After Rain,asufaruto,1
After Rain,kaerimichi,2
After Rain,wa,6
After Rain,itsumo,2
After Rain,yori,2
After Rain,chotto,2
After Rain,sabishigesenrozoi,1
After Rain,ni,19
After Rain,saku,1
After Rain,chiisa,1
After Rain,na,5
After Rain,hana,2
After Rain,demokogoeta,1
After Rain,karada,1
After Rain,yurashiteru,1
After Rain,dakara,2
After Rain,kinou,5
After Rain,yorimo,5
After Rain,zutto,4
After Rain,kirei,3
After Rain,mabushii,2
After Rain,anata,2
After Rain,ga,5
After Rain,soko,5
After Rain,iru,2
After Rain,kaze,2
After Rain,kuchidzuke,2
After Rain,aruiteikeru,2
After Rain,daijoubu,4
After Rain,kitto,2
After Rain,tashika,3
After Rain,kagayaku,1
After Rain,ashita,1
After Rain,aru,4
After Rain,sora,2
After Rain,kazarou,1
After Rain,hanataba,1
After Rain,ima,1
After Rain,shiranai,3
After Rain,no,5
After Rain,chigiregumo,1
After Rain,ameagari,1
After Rain,gairoju,1
After Rain,de,1
After Rain,ame,3
After Rain,nioi,1
After Rain,nara,3
After Rain,kidzukeba,1
After Rain,tooku,1
After Rain,e,1
After Rain,kieru,1
After Rain,koro,1
After Rain,itoshiku,1
After Rain,naru,1
After Rain,kodou,2
After Rain,mune,3
After Rain,utsu,2
After Rain,nanika,2
After Rain,kimagure,2
After Rain,yoku,1
After Rain,hanashi,1
After Rain,made,2
After Rain,nagashita,2
After Rain,namida,2
After Rain,mo,5
After Rain,koe,2
After Rain,dekinakatta,2
After Rain,omoi,2
After Rain,uta,5
After Rain,takushite,2
After Rain,sayonara,2
After Rain,daremo,2
After Rain,koi,1
After Rain,dareka,1
After Rain,moratta,1
After Rain,kasa,1
After Rain,mou,1
After Rain,iranai,1
After Rain,o,1
After Rain,shimetsuketa,1
After Rain,tsuyogari,1
After Rain,tsuyosa,1
After Rain,kawaru,1
After Rain,niji,1
After Rain,suteki,1
After Rain,keshiki,1
Akane Sasu (茜さす),kareha,1
Akane Sasu (茜さす),mau,1
Akane Sasu (茜さす),machikado,1
Akane Sasu (茜さす),wo,11
Akane Sasu (茜さす),kakenuketeku,1
Akane Sasu (茜さす),kawaita,1
Akane Sasu (茜さす),kaze,1
Akane Sasu (茜さす),nobita,1
Akane Sasu (茜さす),kage,1
Akane Sasu (茜さす),to,1
Akane Sasu (茜さす),ichou,1
Akane Sasu (茜さす),namiki,1
Akane Sasu (茜さす),kisetsu,1
Akane Sasu (茜さす),mitetakatta,1
Akane Sasu (茜さす),henji,1
Akane Sasu (茜さす),no,10
Akane Sasu (茜さす),nai,1
Akane Sasu (茜さす),yobu,1
Akane Sasu (茜さす),koe,3
Akane Sasu (茜さす),wa,6
Akane Sasu (茜さす),atto,1
Akane Sasu (茜さす),iu,1
Akane Sasu (茜さす),ma,1
Akane Sasu (茜さす),kakikesareteshimau,1
Akane Sasu (茜さす),menuki,1
Akane Sasu (茜さす),doori,1
Akane Sasu (茜さす),hitonami,1
Akane Sasu (茜さす),nukete,1
Akane Sasu (茜さす),dokoka,1
Akane Sasu (茜さす),tooku,2
Akane Sasu (茜さす),dare,2
Akane Sasu (茜さす),mo,9
Akane Sasu (茜さす),inai,2
Akane Sasu (茜さす),basho,2
Akane Sasu (茜さす),e,1
Akane Sasu (茜さす),kizuiteita,1
Akane Sasu (茜さす),noni,1
Akane Sasu (茜さす),nani,2
Akane Sasu (茜さす),shiranai,1
Akane Sasu (茜さす),furi,1
Akane Sasu (茜さす),hitori,3
Akane Sasu (茜さす),kiri,2
Akane Sasu (茜さす),dewa,1
Akane Sasu (茜さす),dekinakatta,1
Akane Sasu (茜さす),deaeta,2
Akane Sasu (茜さす),maboroshi,3
Akane Sasu (茜さす),ni,13
Akane Sasu (茜さす),sayonara,2
Akane Sasu (茜さす),akane,1
Akane Sasu (茜さす),sasu,1
Akane Sasu (茜さす),kono,3
Akane Sasu (茜さす),sora,3
Akane Sasu (茜さす),koboreta,1
Akane Sasu (茜さす),yowasa,1
Akane Sasu (茜さす),te,1
Akane Sasu (茜さす),hira,1
Akane Sasu (茜さす),ichirin,1
Akane Sasu (茜さす),adabana,1
Akane Sasu (茜さす),sonna,2
Akane Sasu (茜さす),fuu,2
Akane Sasu (茜さす),negai,3
Akane Sasu (茜さす),kanae,1
Akane Sasu (茜さす),itami,3
Akane Sasu (茜さす),shiru,4
Akane Sasu (茜さす),watari,1
Akane Sasu (茜さす),tori,1
Akane Sasu (茜さす),naku,1
Akane Sasu (茜さす),akaku,1
Akane Sasu (茜さす),somaru,1
Akane Sasu (茜さす),kumo,1
Akane Sasu (茜さす),kiete,1
Akane Sasu (茜さす),shimau,1
Akane Sasu (茜さす),kaeri,1
Akane Sasu (茜さす),michi,1
Akane Sasu (茜さす),hanarete,1
Akane Sasu (茜さす),ima,1
Akane Sasu (茜さす),de,3
Akane Sasu (茜さす),kizuita,1
Akane Sasu (茜さす),keshiki,1
Akane Sasu (茜さす),iro,1
Akane Sasu (茜さす),fureta,1
Akane Sasu (茜さす),toshite,1
Akane Sasu (茜さす),dasenakatta,1
Akane Sasu (茜さす),aishita,1
Akane Sasu (茜さす),kuchizuke,1
Akane Sasu (茜さす),tasogareta,1
Akane Sasu (茜さす),mada,1
Akane Sasu (茜さす),yuube,1
Akane Sasu (茜さす),hoshi,1
Akane Sasu (茜さす),tomoranai,1
Akane Sasu (茜さす),machiyoi,1
Akane Sasu (茜さす),oboroge,1
