Song_title,Word,Count
After Rain,nureta,2
After Rain,shatsu,1
After Rain,to,2
After Rain,hoho,1
After Rain,asufaruto,1
After Rain,kaerimichi,2
After Rain,wa,6
After Rain,itsumo,2
After Rain,yori,2
After Rain,chotto,2
After Rain,sabishigesenrozoi,1
After Rain,ni,19
After Rain,saku,1
After Rain,chiisa,1
After Rain,na,5
After Rain,hana,2
After Rain,demokogoeta,1
After Rain,karada,1
After Rain,yurashiteru,1
After Rain,dakara,2
After Rain,kinou,5
After Rain,yorimo,5
After Rain,zutto,4
After Rain,kirei,3
After Rain,mabushii,2
After Rain,anata,2
After Rain,ga,5
After Rain,soko,5
After Rain,iru,2
After Rain,kaze,2
After Rain,kuchidzuke,2
After Rain,aruiteikeru,2
After Rain,daijoubu,4
After Rain,kitto,2
After Rain,tashika,3
After Rain,kagayaku,1
After Rain,ashita,1
After Rain,aru,4
After Rain,sora,2
After Rain,kazarou,1
After Rain,hanataba,1
After Rain,ima,1
After Rain,shiranai,3
After Rain,no,5
After Rain,chigiregumo,1
After Rain,ameagari,1
After Rain,gairoju,1
After Rain,de,1
After Rain,ame,3
After Rain,nioi,1
After Rain,nara,3
After Rain,kidzukeba,1
After Rain,tooku,1
After Rain,e,1
After Rain,kieru,1
After Rain,koro,1
After Rain,itoshiku,1
After Rain,naru,1
After Rain,kodou,2
After Rain,mune,3
After Rain,utsu,2
After Rain,nanika,2
After Rain,kimagure,2
After Rain,yoku,1
After Rain,hanashi,1
After Rain,made,2
After Rain,nagashita,2
After Rain,namida,2
After Rain,mo,5
After Rain,koe,2
After Rain,dekinakatta,2
After Rain,omoi,2
After Rain,uta,5
After Rain,takushite,2
After Rain,sayonara,2
After Rain,daremo,2
After Rain,koi,1
After Rain,dareka,1
After Rain,moratta,1
After Rain,kasa,1
After Rain,mou,1
After Rain,iranai,1
After Rain,o,1
After Rain,shimetsuketa,1
After Rain,tsuyogari,1
After Rain,tsuyosa,1
After Rain,kawaru,1
After Rain,niji,1
After Rain,suteki,1
After Rain,keshiki,1
AM03:00,azayaka,1
AM03:00,ni,10
AM03:00,nagaredasu,1
AM03:00,heddoraito,2
AM03:00,kimochi,2
AM03:00,wa,2
AM03:00,mada,1
AM03:00,kaeritakunai,1
AM03:00,to,3
AM03:00,sabishige,2
AM03:00,toozakaru,2
AM03:00,teeruranpu,2
AM03:00,kimagure,1
AM03:00,de,8
AM03:00,bukiyou,1
AM03:00,na,6
AM03:00,dansu,1
AM03:00,odoru,1
AM03:00,kakeoriru,1
AM03:00,suroopu,1
AM03:00,maru,1
AM03:00,mayonaka,2
AM03:00,bareriina,1
AM03:00,a,4
AM03:00,floating,2
AM03:00,step,4
AM03:00,tsuki,1
AM03:00,akari,1
AM03:00,flowing,2
AM03:00,ukabu,2
AM03:00,yokogao,1
AM03:00,kimi,5
AM03:00,tsutaetakatta,3
AM03:00,nowa,3
AM03:00,tanjun,3
AM03:00,sasai,3
AM03:00,koto,4
AM03:00,sukoshi,4
AM03:00,kodou,3
AM03:00,kasoku,3
AM03:00,shiteru,3
AM03:00,imasara,2
AM03:00,kitto,3
AM03:00,warau,3
AM03:00,yo,1
AM03:00,ne,1
AM03:00,samenai,3
AM03:00,yume,4
AM03:00,o,10
AM03:00,yumemiteru,3
AM03:00,kienai,3
AM03:00,koe,3
AM03:00,kiiteiru,3
AM03:00,akenai,2
AM03:00,yoru,3
AM03:00,akete,1
AM03:00,miru,1
AM03:00,who,3
AM03:00,can,3
AM03:00,tell,3
AM03:00,why,3
AM03:00,i,3
AM03:00,miss,3
AM03:00,you,5
AM03:00,really,3
AM03:00,ashibaya,1
AM03:00,nagareteku,1
AM03:00,konya,1
AM03:00,mo,2
AM03:00,mata,3
AM03:00,sleepless,1
AM03:00,night,1
AM03:00,chijimaranai,1
AM03:00,no,3
AM03:00,distance,1
AM03:00,dake,3
AM03:00,ga,1
AM03:00,tomerarenai,1
AM03:00,ruupu,1
AM03:00,omoidasu,1
AM03:00,kaerimichi,1
AM03:00,dakedo,1
AM03:00,fureta,1
AM03:00,yubisaki,1
AM03:00,gozen,4
AM03:00,reiji,1
AM03:00,omoi,1
AM03:00,tsuzuru,1
AM03:00,kitai,1
AM03:00,shite,1
AM03:00,ichiji,1
AM03:00,niji,1
AM03:00,nemurezu,1
AM03:00,koeru,1
AM03:00,san,1
AM03:00,ji,1
AM03:00,yone,2
AM03:00,tokenai,1
AM03:00,toitemiru,1
AM03:00,omou,1
AM03:00,hodo,1
AM03:00,wakaranaku,1
AM03:00,naru,1
AM03:00,ima,2
AM03:00,temae,1
AM03:00,da,1
AM03:00,shizuka,1
AM03:00,negau,1
AM03:00,sara,1
AM03:00,aketemiru,1
AM04:00,tsutaetai,3
AM04:00,koto,3
AM04:00,mo,5
AM04:00,tsutaerarenai,3
AM04:00,mama,3
AM04:00,yoru,8
AM04:00,ga,8
AM04:00,toketeyuku,3
AM04:00,kamawanai,3
AM04:00,futari,3
AM04:00,owaranai,3
AM04:00,wagamama,3
AM04:00,asa,5
AM04:00,yondeiru,3
AM04:00,how,3
AM04:00,do,8
AM04:00,you,7
AM04:00,feel,4
AM04:00,what,2
AM04:00,kaze,1
AM04:00,ni,1
AM04:00,sasoware,1
AM04:00,gozen,3
AM04:00,niji,2
AM04:00,ochitsukanai,1
AM04:00,kimochi,1
AM04:00,hoshi,1
AM04:00,yureteru,1
AM04:00,sanji,1
AM04:00,kitto,1
AM04:00,mou,1
AM04:00,yumegokochi,1
AM04:00,mahou,2
AM04:00,o,7
AM04:00,kakete,1
AM04:00,tenshi,1
AM04:00,kara,1
AM04:00,fairy,1
AM04:00,tale,1
AM04:00,arifureta,1
AM04:00,natsu,2
AM04:00,no,10
AM04:00,yume,4
AM04:00,tadoru,1
AM04:00,machi,1
AM04:00,akari,1
AM04:00,wa,4
AM04:00,tsuki,1
AM04:00,kage,2
AM04:00,matoi,1
AM04:00,aki,1
AM04:00,shinaide,1
AM04:00,yoji,1
AM04:00,kimi,1
AM04:00,to,1
AM04:00,odoru,1
AM04:00,kaketa,1
AM04:00,nemuranai,1
AM04:00,nightingale,1
AM04:00,ayafuya,1
